time;ax;ay;az;aT
0.002000;0.1935;-0.0062;0.7213;0.747
0.003000;-0.0204;0.1343;0.3055;0.334
0.008000;-0.1328;0.1319;-0.0994;0.212
0.011000;-0.1424;0.0388;-0.4106;0.436
0.016000;-0.0865;-0.0578;-0.6523;0.661
0.021000;-0.0052;-0.2002;-0.7655;0.791
0.026000;0.0470;-0.2757;-0.7791;0.828
0.030000;0.0556;-0.3016;-0.6984;0.763
0.035000;0.0129;-0.2594;-0.5329;0.593
0.041000;-0.0176;-0.1740;-0.2805;0.331
0.046000;-0.0490;-0.0725;-0.0579;0.105
0.050000;-0.0229;0.0103;0.1687;0.171
0.054000;0.0287;0.0448;0.3516;0.356
0.061000;0.0904;0.0759;0.5367;0.549
0.064000;0.1807;0.0812;0.6786;0.707
0.070000;0.2419;0.0983;0.7539;0.798
0.074000;0.2767;0.0957;0.7390;0.795
0.079000;0.2781;0.1020;0.6867;0.748
0.084000;0.2776;0.1293;0.5995;0.673
0.090000;0.2326;0.1468;0.4248;0.506
0.094000;0.1842;0.1813;0.2249;0.343
0.099000;0.1494;0.1621;0.0450;0.225
0.103000;0.0834;0.1924;-0.1580;0.263
0.110000;0.0748;0.1845;-0.3175;0.375
0.113000;0.0594;0.1656;-0.4886;0.519
0.118000;0.0686;0.1696;-0.6166;0.643
0.125000;0.0623;0.1422;-0.6850;0.702
0.128000;0.1171;0.1051;-0.6988;0.716
0.133000;0.1113;0.0728;-0.6511;0.665
0.138000;0.1070;0.0643;-0.5516;0.566
0.142000;0.0921;0.0456;-0.4505;0.462
0.149000;0.1042;0.0619;-0.3404;0.361
0.153000;0.0907;0.0912;-0.1976;0.236
0.157000;0.1227;0.0612;-0.0434;0.144
0.163000;0.1304;0.0456;0.1200;0.183
0.167000;0.1304;-0.0084;0.3711;0.393
0.173000;0.1795;0.0226;0.1757;0.252
0.177000;0.1657;-0.0073;0.4463;0.476
0.185000;0.1629;-0.0337;0.4326;0.463
0.187000;0.1476;-0.0280;0.3667;0.396
0.193000;0.1054;-0.0477;0.3467;0.365
0.197000;0.0749;-0.0376;0.2793;0.292
0.202000;0.0367;-0.0263;0.2148;0.219
0.208000;0.0126;-0.0061;0.1220;0.123
0.212000;-0.0382;0.0042;0.0056;0.039
0.217000;-0.0554;0.0050;-0.0650;0.086
0.221000;-0.0557;-0.0060;-0.1236;0.136
0.232000;-0.0580;-0.0044;-0.1989;0.207
0.233000;-0.0575;-0.0044;-0.2359;0.243
0.236000;-0.0901;-0.0081;-0.2349;0.252
0.240000;-0.0745;0.0416;-0.2031;0.220
0.245000;-0.0659;0.0396;-0.1740;0.190
0.250000;-0.0620;0.0312;-0.0879;0.112
0.258000;-0.0649;0.0212;-0.0213;0.072
0.260000;-0.0608;0.0211;0.0641;0.091
0.265000;-0.0401;0.0188;0.1397;0.147
0.270000;-0.0268;-0.0098;0.1888;0.191
0.275000;-0.0066;0.0022;0.2474;0.247
0.280000;0.0063;-0.0007;0.2677;0.268
0.285000;0.0311;-0.0067;0.3240;0.326
0.291000;0.0390;-0.0065;0.3302;0.333
0.294000;0.0586;0.0051;0.3198;0.325
0.299000;0.0636;0.0180;0.2620;0.270
0.304000;0.0874;0.0420;0.2355;0.255
0.309000;0.1013;0.0390;0.1687;0.201
0.314000;0.1152;0.0691;0.1141;0.176
0.319000;0.1145;0.0586;0.0119;0.129
0.326000;0.0878;0.0364;-0.0495;0.107
0.329000;0.0689;0.0386;-0.0798;0.112
0.333000;0.0269;0.0510;-0.0839;0.102
0.339000;-0.0027;0.0712;-0.1287;0.147
0.343000;-0.0337;0.0803;-0.0901;0.125
0.348000;-0.0331;0.0447;-0.0757;0.094
0.353000;-0.0297;0.0575;-0.0494;0.081
0.358000;-0.0286;0.0468;-0.0114;0.056
0.363000;-0.0324;0.0365;0.0049;0.049
0.368000;-0.0150;0.0337;0.0617;0.072
0.373000;-0.0053;0.0358;0.1541;0.158
0.379000;-0.0080;0.0355;0.2343;0.237
0.383000;-0.0112;0.0275;0.3293;0.331
