time;ax;ay;az;aT
0.003000;-0.4528;0.2579;-0.3938;0.653
0.004000;-0.3637;0.2292;-0.1516;0.456
0.015000;-0.2426;0.1936;0.1097;0.329
0.048000;-0.0848;0.1456;0.2380;0.292
0.048000;0.0423;0.0344;0.3314;0.336
0.048000;0.1501;0.0029;0.3901;0.418
0.055000;0.2517;-0.0035;0.4031;0.475
0.064000;0.2750;-0.0078;0.4329;0.513
0.083000;0.2157;-0.0198;0.3872;0.444
0.083000;0.1375;0.0216;0.3379;0.365
0.101000;0.0725;0.0770;0.3198;0.337
0.103000;0.0152;0.1152;0.3808;0.398
0.118000;-0.0329;0.1328;0.4335;0.455
0.164000;-0.0487;0.1589;0.4599;0.489
0.165000;-0.0335;0.1569;0.4624;0.489
0.165000;0.0204;0.1138;0.5105;0.523
0.166000;0.0722;0.0776;0.5753;0.585
0.166000;0.1084;0.1064;0.6389;0.657
0.174000;0.1137;0.1243;0.6018;0.625
0.183000;0.1132;0.1156;0.4605;0.488
0.201000;0.1242;0.0749;0.3382;0.368
0.203000;0.0854;0.0174;0.0950;0.129
0.214000;0.0410;-0.0081;-0.0584;0.072
0.245000;0.0167;-0.0467;-0.0789;0.093
0.246000;0.0364;-0.0648;0.0408;0.085
0.246000;0.0227;-0.0752;0.1700;0.187
0.254000;0.0025;-0.0836;0.2682;0.281
0.265000;-0.0051;-0.0810;0.3317;0.341
0.284000;-0.0297;-0.0726;0.2839;0.295
0.285000;0.0065;-0.0990;0.1917;0.216
0.299000;0.3030;0.0416;0.3030;0.431
0.303000;0.1006;0.0556;0.2909;0.313
0.316000;-0.2298;-0.1826;-0.0613;0.300
0.361000;-0.1567;-0.3057;-0.1501;0.375
0.362000;0.0072;-0.2491;-0.0137;0.250
0.363000;0.0277;-0.0795;0.2507;0.264
0.363000;-0.1038;-0.1900;0.3116;0.379
0.369000;-0.1445;-0.2975;0.2816;0.434
0.384000;-0.0348;-0.2970;0.3102;0.431
0.385000;0.0756;-0.1858;0.3555;0.408
0.401000;0.0415;-0.1175;0.3972;0.416
0.403000;-0.0476;-0.0881;0.3635;0.377
0.419000;-0.1147;-0.1238;0.2209;0.278
0.424000;-0.0449;-0.1270;0.1249;0.184
0.461000;0.0051;-0.1564;0.0577;0.167
0.462000;-0.0175;-0.1597;-0.0034;0.161
0.463000;-0.0918;-0.1928;0.0240;0.215
0.471000;-0.0775;-0.1923;0.1210;0.240
0.474000;-0.0428;-0.1816;0.2862;0.342
0.483000;-0.0356;-0.1538;0.3353;0.371
0.502000;-0.0345;-0.1310;0.2671;0.300
0.504000;-0.0371;-0.1227;0.1487;0.196
0.543000;-0.0493;-0.1267;0.0088;0.136
0.544000;-0.0599;-0.1097;-0.1012;0.161
0.545000;-0.0852;-0.1243;-0.2185;0.265
0.545000;-0.0630;-0.1355;-0.1849;0.238
