[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 138K of event 'cycles:uppp'
# Event count (approx.): 6853636713
#
# Overhead  Command         Shared Object       Symbol                            
# ........  ..............  ..................  ..................................
#
    82.54%  mandelbrot_omp  mandelbrot_omp      [.] compute_mandelbrot._omp_fn.0
     7.80%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c0
     4.30%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c858
     1.14%  mandelbrot_omp  libc-2.27.so        [.] _IO_fwrite
     1.07%  mandelbrot_omp  mandelbrot_omp      [.] update_rgb_buffer
     0.78%  mandelbrot_omp  libc-2.27.so        [.] _int_malloc
     0.48%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c2
     0.23%  mandelbrot_omp  libc-2.27.so        [.] malloc
     0.21%  mandelbrot_omp  mandelbrot_omp      [.] allocate_image_buffer
     0.21%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85a
     0.19%  mandelbrot_omp  libc-2.27.so        [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.17%  mandelbrot_omp  [kernel]            [k] 0xffffffff822009e7
     0.16%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6c6
     0.14%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cb
     0.12%  mandelbrot_omp  mandelbrot_omp      [.] write_to_file
     0.11%  mandelbrot_omp  libc-2.27.so        [.] __memmove_avx_unaligned_erms
     0.09%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6cf
     0.09%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c863
     0.06%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c85e
     0.03%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c868
     0.02%  mandelbrot_omp  libc-2.27.so        [.] @plt
     0.02%  mandelbrot_omp  mandelbrot_omp      [.] malloc@plt
     0.02%  mandelbrot_omp  mandelbrot_omp      [.] fwrite@plt
     0.02%  mandelbrot_omp  libc-2.27.so        [.] __mempcpy_avx_unaligned_erms
     0.00%  mandelbrot_omp  [kernel]            [k] 0xffffffff82200158
     0.00%  mandelbrot_omp  ld-2.27.so          [.] do_lookup_x
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _dl_addr
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c6d7
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _IO_default_xsputn
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _IO_file_write@@GLIBC_2.2.5
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.00%  mandelbrot_omp  libc-2.27.so        [.] vfprintf
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_runtime_resolve_xsavec
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_cache_libcmp
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_fixup
     0.00%  mandelbrot_omp  libc-2.27.so        [.] sysmalloc
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _IO_vfscanf
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __libc_pthread_init
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_new_object
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_relocate_object
     0.00%  mandelbrot_omp  ld-2.27.so          [.] __GI___tunables_init
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_check_map_versions
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_omp  ld-2.27.so          [.] get_common_indeces.constprop.1
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c87c
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019e72
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c77b
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d3e
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x0000000000019d56
     0.00%  mandelbrot_omp  libc-2.27.so        [.] _setjmp
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c8a0
     0.00%  mandelbrot_omp  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_omp  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_omp  ld-2.27.so          [.] _start
     0.00%  mandelbrot_omp  libgomp.so.1.0.0    [.] 0x000000000001c89c


#
# (Cannot load tips.txt file, please install perf!)
#
