[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 155K of event 'cycles:uppp'
# Event count (approx.): 7701167988
#
# Overhead  Command         Shared Object       Symbol                            
# ........  ..............  ..................  ..................................
#
    96.30%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot_pth
     1.03%  mandelbrot_pth  libc-2.27.so        [.] _IO_fwrite
     0.95%  mandelbrot_pth  mandelbrot_pth      [.] update_rgb_buffer
     0.81%  mandelbrot_pth  libc-2.27.so        [.] _int_malloc
     0.22%  mandelbrot_pth  libc-2.27.so        [.] malloc
     0.15%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.14%  mandelbrot_pth  [kernel]            [k] 0xffffffff822009e7
     0.13%  mandelbrot_pth  mandelbrot_pth      [.] allocate_image_buffer
     0.11%  mandelbrot_pth  mandelbrot_pth      [.] write_to_file
     0.08%  mandelbrot_pth  libc-2.27.so        [.] __memmove_avx_unaligned_erms
     0.02%  mandelbrot_pth  libc-2.27.so        [.] @plt
     0.02%  mandelbrot_pth  mandelbrot_pth      [.] fwrite@plt
     0.02%  mandelbrot_pth  libc-2.27.so        [.] __mempcpy_avx_unaligned_erms
     0.02%  mandelbrot_pth  mandelbrot_pth      [.] malloc@plt
     0.00%  mandelbrot_pth  libc-2.27.so        [.] sysmalloc
     0.00%  mandelbrot_pth  ld-2.27.so          [.] do_lookup_x
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _dl_addr
     0.00%  mandelbrot_pth  [kernel]            [k] 0xffffffff82200158
     0.00%  mandelbrot_pth  libc-2.27.so        [.] arena_thread_freeres
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __getpagesize
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __libc_disable_asynccancel
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __GI___libc_write
     0.00%  mandelbrot_pth  ld-2.27.so          [.] __tunable_get_val
     0.00%  mandelbrot_pth  ld-2.27.so          [.] __GI___tunables_init
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_old_init
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __GI_____strtod_l_internal
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_lookup_symbol_x
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_important_hwcaps
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_setup_hash
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _IO_file_doallocate
     0.00%  mandelbrot_pth  ld-2.27.so          [.] get_common_indeces.constprop.1
     0.00%  mandelbrot_pth  libc-2.27.so        [.] _setjmp
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_name_match_p
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] __free_tcb
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __clone
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] start_thread
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] __pthread_disable_asynccancel
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_start
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __ctype_init
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _dl_sysdep_start
     0.00%  mandelbrot_pth  mandelbrot_pth      [.] compute_mandelbrot
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] __ctype_init@plt
     0.00%  mandelbrot_pth  libc-2.27.so        [.] __sigsetjmp
     0.00%  mandelbrot_pth  libpthread-2.27.so  [.] __GI___pthread_timedjoin_ex
     0.00%  mandelbrot_pth  ld-2.27.so          [.] _start
     0.00%  mandelbrot_pth  [unknown]           [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
