[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles:uppp'
# Event count (approx.): 910540164
#
# Overhead  Command         Shared Object     Symbol                            
# ........  ..............  ................  ..................................
#
    75.82%  mandelbrot_seq  mandelbrot_seq    [.] compute_mandelbrot
     6.57%  mandelbrot_seq  libc-2.27.so      [.] _int_malloc
     3.86%  mandelbrot_seq  mandelbrot_seq    [.] update_rgb_buffer
     3.74%  mandelbrot_seq  libc-2.27.so      [.] _IO_fwrite
     1.85%  mandelbrot_seq  libc-2.27.so      [.] malloc
     1.85%  mandelbrot_seq  mandelbrot_seq    [.] write_to_file
     1.85%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_xsputn@@GLIBC_2.2.5
     1.73%  mandelbrot_seq  mandelbrot_seq    [.] allocate_image_buffer
     1.01%  mandelbrot_seq  [kernel]          [k] 0xffffffff822009e7
     1.01%  mandelbrot_seq  libc-2.27.so      [.] __memmove_avx_unaligned_erms
     0.21%  mandelbrot_seq  libc-2.27.so      [.] __mempcpy_avx_unaligned_erms
     0.15%  mandelbrot_seq  libc-2.27.so      [.] @plt
     0.15%  mandelbrot_seq  mandelbrot_seq    [.] malloc@plt
     0.14%  mandelbrot_seq  mandelbrot_seq    [.] fwrite@plt
     0.01%  mandelbrot_seq  libc-2.27.so      [.] _dl_addr
     0.01%  mandelbrot_seq  libc-2.27.so      [.] _IO_default_xsputn
     0.01%  mandelbrot_seq  libc-2.27.so      [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_overflow@@GLIBC_2.2.5
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_relocate_object
     0.00%  mandelbrot_seq  libc-2.27.so      [.] __sbrk
     0.00%  mandelbrot_seq  libc-2.27.so      [.] __default_morecore
     0.00%  mandelbrot_seq  [kernel]          [k] 0xffffffff82200158
     0.00%  mandelbrot_seq  ld-2.27.so        [.] __GI___tunables_init
     0.00%  mandelbrot_seq  libc-2.27.so      [.] __wcslen_ifunc
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_init
     0.00%  mandelbrot_seq  libc-2.27.so      [.] __isoc99_sscanf
     0.00%  mandelbrot_seq  libc-2.27.so      [.] __GI_____strtod_l_internal
     0.00%  mandelbrot_seq  ld-2.27.so        [.] do_lookup_x
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_init_paths
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_load_cache_lookup
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_map_object_deps
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_lookup_symbol_x
     0.00%  mandelbrot_seq  ld-2.27.so        [.] memmove
     0.00%  mandelbrot_seq  libc-2.27.so      [.] _itoa_word
     0.00%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_fopen@@GLIBC_2.2.5
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_sysdep_start
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_start
     0.00%  mandelbrot_seq  libc-2.27.so      [.] __GI___libc_open
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
