[kernel.kallsyms] with build id 7f8bd6eeb0ef492b560db70cd3d02872bf77ee1a not found, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 116K of event 'cycles:uppp'
# Event count (approx.): 5958261474
#
# Overhead  Command         Shared Object     Symbol                            
# ........  ..............  ................  ..................................
#
    96.03%  mandelbrot_seq  mandelbrot_seq    [.] compute_mandelbrot
     1.34%  mandelbrot_seq  libc-2.27.so      [.] _int_malloc
     0.55%  mandelbrot_seq  libc-2.27.so      [.] _IO_fwrite
     0.52%  mandelbrot_seq  mandelbrot_seq    [.] update_rgb_buffer
     0.37%  mandelbrot_seq  libc-2.27.so      [.] malloc
     0.26%  mandelbrot_seq  mandelbrot_seq    [.] write_to_file
     0.26%  mandelbrot_seq  mandelbrot_seq    [.] allocate_image_buffer
     0.26%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.18%  mandelbrot_seq  [kernel]          [k] 0xffffffff822009e7
     0.14%  mandelbrot_seq  libc-2.27.so      [.] __memmove_avx_unaligned_erms
     0.03%  mandelbrot_seq  mandelbrot_seq    [.] malloc@plt
     0.02%  mandelbrot_seq  libc-2.27.so      [.] @plt
     0.02%  mandelbrot_seq  libc-2.27.so      [.] __mempcpy_avx_unaligned_erms
     0.02%  mandelbrot_seq  mandelbrot_seq    [.] fwrite@plt
     0.00%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_write@@GLIBC_2.2.5
     0.00%  mandelbrot_seq  libc-2.27.so      [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  mandelbrot_seq  libc-2.27.so      [.] _IO_file_overflow@@GLIBC_2.2.5
     0.00%  mandelbrot_seq  libc-2.27.so      [.] _dl_addr
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_relocate_object
     0.00%  mandelbrot_seq  libc-2.27.so      [.] __GI___libc_write
     0.00%  mandelbrot_seq  libc-2.27.so      [.] tcache_init.part.4
     0.00%  mandelbrot_seq  ld-2.27.so        [.] __GI___tunables_init
     0.00%  mandelbrot_seq  ld-2.27.so        [.] memmove
     0.00%  mandelbrot_seq  libc-2.27.so      [.] init_cacheinfo
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_name_match_p
     0.00%  mandelbrot_seq  ld-2.27.so        [.] do_lookup_x
     0.00%  mandelbrot_seq  ld-2.27.so        [.] dl_main
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_start
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _dl_sysdep_start
     0.00%  mandelbrot_seq  ld-2.27.so        [.] _start


#
# (Cannot load tips.txt file, please install perf!)
#
