sz,times,dv
4,144.170918891,0.23067347022560003
8,72.651096094,0.043590657656399995
16,36.665760919,0.0036665760919
32,18.641135396,0.009320567698
64,10.491425155,0.002098285031
128,5.501485118,0.002750742559
256,4.679151523,0.0341578061179
512,4.546674809,0.0250067114495
1024,4.471530395,0.024146264133
2048,0.087456285,0.007468766738999999
2048,4.124488474,0.0313461124024
4096,2.378470232,0.023784702320000004
8192,1.605286403,0.027289868850999998
16384,1.020424187,0.016632914248099998
32768,1.005843868,0.014282982925599999
65536,1.009726499,0.027262615473000004
131072,0.986835918,0.024374847174600003
262144,0.976942253,0.0168034067516
524288,0.97856921,0.02642136867
1048576,0.081289293,0.0031784113563
4096,3.77723803,0.025307494801
8192,2.387409023,0.0370048398565
16384,1.467296778,0.0152598864912
32768,0.98406008,0.011808720959999998
65536,0.999681484,0.011996177807999999
131072,0.987062227,0.0159904080774
262144,0.922886825,0.012274394772499999
524288,0.899124853,0.0019780746766000002
1048576,0.956582563,0.0548121808599
2097152,0.086148347,0.0083736193284
8192,4.010770045,0.006417232072
16384,2.332489482,0.0230916458718
32768,1.431148589,0.021753458552799997
65536,1.03509707,0.038919649832
131072,1.026975503,0.0669588027956
262144,1.084080715,0.05832354246700001
524288,1.069722299,0.0719923107227
1048576,1.03075817,0.054114803924999996
2097152,1.061930055,0.05723802996449999
4194304,0.079839981,0.00159679962
